#OTU_IDs	trait1
Bogoriella_caseilytica-_-Y09911--_HIK_0088_T	0.670166999957606
Oxalicibacterium_solurbis-_-AB681897--_NBRC_102665_T	0.5913420726966161
Thalassotalea_algicola-_-MN822801--_M1531T	0.8757054527924677
Streptomyces_rutgersensis-_-AB184170--_NBRC_12819_T	0.5822209098851144
Nocardia_elegans-_-AJ854057--_IMMIB_N-402_T	0.47295132764923786
Nocardia_artemisiae-_-GU367157--_YIM_65623_T	0.6441147108717269
Myroides_ceti-_-AM292800--_454-2_T	0.7625714102442492
Gloeomargarita_lithophora-_-CP017675--_D10_T	1.0333976075762181
g__207244	0.5159938864516398
Micromonospora_echinaurantiaca-_-X92618--_DSM_43904_T	0.6129325095773868
Sunxiuqinia_rutila-_-AB851476--_HG677_T	1.0154175657228754
g__2894767	0.7056083128229346
g__2894762	0.976553657042672
g__2820419	0.6134242876449044
Litoreibacter_halocynthiae-_-JX644172--_P-MA1-7_T	0.7329949116556723
Hymenobacter_defluvii-_-KY883691--_POA9_T	0.7011343798457845
Coraliomargarita_akajimensis-_-CP001998--_DSM_45221_T	1.21214808918924
Qipengyuania_sphaerica-_-MZ749498--_GH29T	0.33326823030101826
Burkholderia_ubonensis-_-AB030584--_GTC-P3-415_T	0.2794735746186057
Methanotorris_formicicus-_-AGJL01000032--_Mc-S-70_T	0.6537193221491903
Corallococcus_coralloides-_-AJ811588--_DSM_2259_T	0.5645083423732208
Chitinophaga_costaii-_-KC922450--_A37T2_T	0.9764036716894369
Belnapia_moabensis-_-AJ871428--_CP2C_T	0.7928616201686469
Komagataeibacter_hansenii-_-X75620--_NCIB8746-_LMG1527_T	0.34882219181436447
Enterocloster_bolteae-_-AJ508452--_16351_T	0.7844819881047363
Janibacter_hoylei-_-FR749912--_DSM_21601_T	0.5237175906711676
Dietzia_aurantiaca-_-FR821260--_CCUG_35676_T	0.6181926690018769
Flavobacterium_lacisediminis-_-OP422636--_TH16-21T	0.7590192610757605
Lysobacter_erysipheiresistens-_-KT001243--_RS-LYSO-3_T	0.6727791513335288
Dickeya_poaceiphila-_-MT226771--_NCPPB-569_T	0.4012698802473113
Paraburkholderia_pallidirosea-_-KP938221--_DHOK13_T	0.4374566174202559
Kaistella_daneshvariae-_-CP034158--_H3001_T	0.6784036417337856
Paenibacillus_agarexedens-_-AJ345020--_DSM_1327_T	0.8560233200743175
Mesorhizobium_sangaii-_-EU514525--_SCAU7_T	0.49524359079082775
Marinobacter_vulgaris-_-KY344788--_F01_T	0.6566680707704642
Halospirulina_tapeticola-_-Y18791--_CCC_Baja-95_Cl.2_T	1.0951344136696566
Psychrobacter_pocilloporae-_-KT444699--_S6-60_T	0.8999378276333041
Streptomyces_parvus-_-DQ442537--_NRRL_B-1455T_T	0.300515037609396
Pelosinus_fermentans-_-LK391729--_DSM_17108_T	0.2820246448575048
Paraconexibacter_antarcticus-_-ON814778--_02-257T	1.1502265713267423
Vogesella_amnigena-_-LK056648--_Npb-02_T	0.8190308849421004
Thiothrix_unzii-_-L79961--_A1-_ATCC_49747_T	0.9545779657804601
g__53460	0.660952590127692
Marinobacterium_boryeongense-_-KX832989--_DMHB-2_T	1.1042541770179262
Halobacillus_karajensis-_-AJ486874--_DSM_14948_T	0.6922009517809364
g__2822114	0.8940926286153058
Thermophilibacter_gallinarum-_-MN055918--_ClaCZ62_T	0.6288550583464726
g__422440	0.6654936933370017
Actinomadura_xylanilytica-_-FR692101--_BK147_T	0.48039150881382703
Thermodiscus_maritimus-_-X99554--_S2_T	0.7679264343979849
Roseibium_marinum-_-AY628423--_mano18_T	0.37522823257766125
g__2023705	0.8296475380340815
Parapseudoflavitalea_muciniphila-_-MH002344--_PMP191F_T	0.8415477134235202
Oenococcus_alcoholitolerans-_-HQ009794--_UFRJ-M7.2.18_T	1.1999019785005764
Nocardioides_daphniae-_-AM398438--_D287_T	0.8439725831670746
Amylibacter_kogurei-_-KY463497--_4G11_T	1.0314765240292425
Methylobacterium_symbioticum-_-MN154398--_CECT_9862_T	0.6189948014549825
Methanococcoides_methylutens-_-FR733669--_DSM2657_T	0.5973644946442888
Modestobacter_caceresii-_-JPMX01000078--_KNN45-2b_T	0.5945431024476026
Kitasatospora_cystarginea-_-U93318--_JCM_7356_T	0.698231816200309
Gelidibacter_flavus-_-KU513826--_Con4_T	0.9659369006964751
Bifidobacterium_ramosum-_-KU051447--_TRE_M_T	0.6855769965831018
Natronorubrum_texcoconense-_-AB935414--_JCM_17497_T	0.6231277680610187
Leclercia_tamurae-_-OM987255--_H6S3T	0.3219478202793586
Sulfitobacter_brevis-_-Y16425--_Ekho_Lake-162_T	0.5757248309727885
Clostridium_innocuum-_-M23732--_B-3_T	0.928100372219281
Natroniella_acetigena-_-FR749904--_DSM_9952_T	0.854833481775142
g__2811380	0.6378302352142787
Ureaplasma_parvum-_-AF073456--_ATCC27815_T	1.184729825476384
g__2811387	0.8630837806274123
Brevibacillus_schisleri-_-MXAR01000000--_ATCC_35690_T	0.4131934105748215
Melaminivora_alkalimesophila-_-JQ676982--_CY1_T	0.7507269938225567
Dielma_fastidiosa-_-JF824807--_JC13_T	0.7748168317921936
g__2291840	0.8190842653375414
Bradyrhizobium_huanghuaihaiense-_-HQ231463--_CCBAU_23303_T	0.4168142260824169
Prevotella_falsenii-_-AB429504--_04052_-=_JCM_15124-_T	1.0216728946591949
Homoserinibacter_gongjuensis-_-JQ639055--_5GH_26-15_T	0.5830213891355245
g__1779002	0.687044199609007
Salinicola_rhizosphaerae-_-KF898345--_MSSRFH1_T	0.8053881229948956
g__1653176	0.48079970983756204
g__1653174	0.7065870640876574
Neorhizobium_alkalisoli-_-EU074168--_CCBAU_01393_T	0.4363020012155981
Actibacter_haliotis-_-KC193210--_W113_T	0.9594237761110054
Deinococcus_malanensis-_-KT581022--_T93_T	0.9990013571603195
Thermogemmatispora_carboxidivorans-_-KF193526--_PM5_T	1.0777447340484554
Anoxynatronum_buryatiense-_-EU315116--_Su22_T	0.9560509330796209
Parabacteroides_chartae-_-JN029805--_NS31-3_T	0.6962683151980446
Actinocorallia_aurantiaca-_-AJ293701--_IMSNU_22193T_T	0.7181061955071532
Nucisporomicrobium_flavum-_-MW250207--_NEAU-24_T	0.5059762397700555
Natronincola_ferrireducens-_-EU878275--_Z-0511_T	1.1335547780031028
Chromohalobacter_beijerinckii-_-AB021386--_ATCC_19372_T	0.9125287283685153
Anaerococcus_lactolyticus-_-AB673373--_JCM_8140_T	0.6452920939153473
g__2750262	0.7658685929415684
Streptomyces_chilikensis-_-JN050256--_RC_1830_T	0.43974409286373
Halomonas_dongshanensis-_-ON692516--_aquaculturedongshan1T	0.9023230688347628
Zobellia_uliginosa-_-AB680724--_NBRC_14962_T	0.8894431535396811
Bifidobacterium_gallicum-_-D86189--_JCM_8224_T	0.8041091766459565
Flavobacterium_daejeonense-_-DQ222427--_GH1-10_T	0.6731266040068402
Dissulfurirhabdus_thermomarina-_-KU051627--_SH388_T	0.8034134483516386
Vibrio_oceanisediminis-_-KM099166--_S37_T	0.6171466188790012
Streptomyces_justiciae-_-LC497890--_3R004_T	0.5866279560173984
Haematobacter_missouriensis-_-JFGS01000070--_CCUG_52307_T	0.5969779389339008
Halanaerobium_fermentans-_-AB023308--_R-9_LTP__T	1.0579508141428862
Sulfitobacter_indolifex-_-AJ550939--_Hel_45_T	0.5513279842462658
Muricauda_marina-_-KU315479--_H19-56_T	1.0596550958425064
Streptomyces_xantholiticus-_-AB184349--_NBRC_13354_T	0.49995253467181616
Buttiauxella_agrestis-_-AJ233400--_DSM_4586_T	0.5454106414261437
Tunicatimonas_pelagia-_-AB602437--_N5DB8-4_T	0.9174928864521691
Collinsella_ihumii-_-LN881598--_GD8T	0.6263519578294083
Syntrophomonas_bryantii-_-HE654006--_DSM_3014_T	1.3932479422738495
Alkalilimnicola_halodurans-_-AJ404972--_34Alc_LTP__T	0.5514818722949623
Legionella_lytica-_-X66835--_PCM_2298_T	0.5885990016429702
Tepidicella_xavieri-_-DQ295805--_TU-16_T	0.7519148672815955
g__186191	0.7310175576431
Bacillus_aerophilus-_-AJ831844--_28K_T	0.21387170997820296
Longibacter_salinarum-_-KU954547--_WDS2C18_T	0.8242179488022527
Nocardia_acidivorans-_-AM402972--_GW4-1778_T	0.4931329269362751
Muribaculum_gordoncarteri-_-MK521455--_TLL-A4_T	1.255482888968202
Acinetobacter_brisouii-_-DQ832256--_5YN5-8_T	0.7188938817891486
Camelimonas_abortus-_-FR851926--_UK34/07-5_T	0.9749391175666116
Neobacillus_mesonae-_-JX262263--_FJAT-13985_T	0.4205193274441961
g__2812952	1.0255363804047797
Ideonella_dechloratans-_-X72724--_CCUG_30977_T	0.6081385267820448
Heliomicrobium_sulfidophilum-_-AF249678--_BR4_-T-_T	0.9842374158323406
g__1241326	0.8529495577453129
Caenimonas_aquaedulcis-_-OL587860--_DR4-4T	0.5443124273434261
Streptomyces_bangladeshensis-_-AY750056--_AAB-4_T	0.5275261563061514
Trebonia_kvetii-_-MN209171--_15TR583_T	0.8445708686739132
Solimonas_flava-_-EF154515--_CW-KD_4_T	0.37007133043258417
Mesorhizobium_helmanticense-_-KT899885--_CSLC115N_T	0.46952501720760254
Tetragenococcus_osmophilus-_-EU522083--_T1_T	0.8308353181317868
Rhizobium_viscosum-_-AJ639832--_LMG_16473_T	0.4069776834305151
Heliorestis_daurensis-_-AF079102--_BT-H1_T	1.0199339801759777
Aequorivita_echinoideorum-_-KM085326--_CC-CZW007_T	0.9175298595858734
g__64895	0.4569218245633076
g__1817571	0.7560150954265463
Natronoglycomyces_albus-_-KY775645--_ACPA22_T	1.0327365302464422
Pedobacter_frigiditerrae-_-MK183015--_RP-1-13_T	0.8761692573871058
Aliiroseovarius_sediminis-_-OM943767--_N1F302T	0.8499765295602127
Staphylococcus_saprophyticus_subsp._bovis-_-AB233327--_GTC_843_T	0.3694840948271742
Sediminibacterium_lactis-_-JQ638910--_LCJ02_T	0.8482352287754278
g__2282756	0.799992387530692
Aridibacter_famidurans-_-KF245634--_A22_HD_4H_T	1.2615427885684931
g__633413	0.8896927904181281
Microbulbifer_guangxiensis-_-OM349540--_L3T	0.7792978951969711
Acetobacter_pasteurianus-_-X71863--_NBRC_106471_LTP__T	0.5153851169860141
Rathayibacter_rubneri-_-ON892742--_ZWT2_19_T	0.6512048736664754
Paenibacillus_turpanensis-_-MT032315--_YIM_B00363_T	0.9464709717625778
Streptomyces_inusitatus-_-AB184445--_NBRC_13601_T	0.5016033464664258
Azohydromonas_sediminis-_-MH046066--_SYSU_G00088_T	0.569340434388553
Salisediminibacterium_selenitireducens-_-CP001791--_MLS10_T	0.7370842267103418
Geomonas_ferrireducens-_-MH915555--_S62_T	0.6173637558070436
Micromonospora_lupini-_-AJ783996--_Lupac_14N_T	0.6525429129976265
Lysobacter_selenitireducens-_-MZ643208--_13AT	0.446401032012103
